timestamp,session_time,frame_identifier,player_car_index,world_pos_X,world_pos_Y,world_pos_Z,world_velo_X,world_velo_Y,world_velo_Z,world_fwd_dir_X,world_fwd_dir_Y,world_fwd_dir_Z,world_rgt_dir_X,world_rgt_dir_Y,world_rgt_dir_Z,gforce_lat,gforce_long,gforce_vert,yaw,pitch,roll
1785643129.608442,392.1866455078125,7876,0,-185.1779022216797,90.10405731201172,436.3968200683594,7.139787197113037,-0.0015209647826850414,-80.563720703125,3055,-42,-32624,32624,76,3055,14680,-16620,-20972,7.549248158946935e-28,9.884586763493069e-26,-1.8225566455337683e-12
1785643129.6588795,392.2386169433594,7877,0,-184.81277465820312,90.1039810180664,432.3643493652344,7.450414180755615,-0.0014219600707292557,-80.72465515136719,3183,-42,-32611,32611,80,3183,8913,-16613,7864,7.5492471959819625e-28,-17229935542272.0,-1.8225564286933338e-12
1785643129.7157261,392.2919006347656,7878,0,-184.4318084716797,90.1038818359375,428.323974609375,7.771405220031738,-0.0012521558674052358,-80.88074493408203,3312,-42,-32599,32599,82,3312,-16777,-16609,-28836,2.251326112784251e-41,-2.1305555328209087e-26,-1.1944305811084632e-07
1785643129.771905,392.34771728515625,7879,0,-183.8984832763672,90.1037826538086,422.9249572753906,8.211177825927734,-0.0013300629798322916,-81.08162689208984,3484,-42,-32581,32581,84,3484,23069,-16604,30409,7.54924382560456e-28,0.13157086074352264,-4.2434698638816685e-22
1785643129.8131204,392.3884582519531,7880,0,-183.62075805664062,90.10369110107422,420.2204895019531,8.434576034545898,-0.0014321643393486738,-81.17919921875,3571,-42,-32571,32571,85,3571,-7340,-16603,-4719,2.2504853337056562e-41,6.594877167647659e-28,-1.1944305811084632e-07
1785643129.8687325,392.4442443847656,7881,0,-183.04281616210938,90.10359954833984,414.80242919921875,8.889557838439941,-0.004399153869599104,-81.39753723144531,3746,-38,-32552,32551,86,3746,-4194,-16601,-18874,-152002969468928.0,-0.0007199665415100753,3.057741923839785e-05
1785643129.9089682,392.4856262207031,7882,0,-182.74234008789062,90.10346984863281,412.0874328613281,9.119105339050293,-0.002884090878069401,-81.49178314208984,3834,-38,-32541,32541,87,3834,-1049,-16599,-11010,-2.750292737898205e-22,-2.2092229544608304e-30,1.8225562118528993e-12
1785643129.9634776,392.5404968261719,7883,0,-182.27720642089844,90.10342407226562,408.0093078613281,9.466546058654785,-9.962646799976937e-06,-81.62629699707031,3966,-43,-32526,32525,88,3966,-14680,-16597,-15729,2.2495044247806288e-41,22413312.0,4.665743902343422e-10
1785643130.0194185,392.5957946777344,7884,0,-181.6298828125,90.10335540771484,402.5615539550781,9.934687614440918,-0.002291604643687606,-81.80071258544922,4145,-42,-32503,32503,89,4144,5243,-16594,14680,7.549239010779699e-28,-1.7304665429501195e+30,3.696582721643374e+19
1785643130.0623815,392.6374206542969,7885,0,-181.29446411132812,90.10326385498047,399.8333435058594,10.171216011047363,-0.0020679887384176254,-81.88554382324219,4234,-41,-32492,32492,90,4234,23593,-16593,-20447,2.2490840352413314e-41,-996.0,-2.4225924524562017e+24
