timestamp,session_time,frame_identifier,player_car_index,last_lap_time,current_lap_time,sector_1_time_ms,sector_1_time_min,sector_2_time_ms,sector_2_time_min,delta_car_ahead_ms,delta_car_ahead_min,delta_race_leader_ms,delta_race_leader_min,lap_distance,total_distance,delta_safety_car,car_position,current_lap_num,pit_status,pit_stops_count,sector,current_lap_invalid,penalties,total_warnings,corner_cutting_warnings,unserved_drive_thru_pens_count,unserved_stop_go_pens_count,grid_pos,driver_status,result_status,pitlane_timer_active,pitlane_time_in_lane_ms,pitstop_timer_ms,pitstop_should_serve_pen,speed_trap_fastest_speed,speed_trap_fastest_lap
1784313292.1127155,148.26953125,2978,0,0,0,0,0,0,0,0,0,0,0,-1144.748046875,-1144.748046875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.1581416,148.31484985351562,2979,0,0,0,0,0,0,0,0,0,0,0,-1140.11572265625,-1140.11572265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.2130594,148.3700408935547,2980,0,0,0,0,0,0,0,0,0,0,0,-1135.58837890625,-1135.58837890625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.2645059,148.42337036132812,2981,0,0,0,0,0,0,0,0,0,0,0,-1129.71337890625,-1129.71337890625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.313045,148.4664306640625,2982,0,0,0,0,0,0,0,0,0,0,0,-1126.84375,-1126.84375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.3581476,148.51263427734375,2983,0,0,0,0,0,0,0,0,0,0,0,-1122.62255859375,-1122.62255859375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.4078133,148.5597686767578,2984,0,0,0,0,0,0,0,0,0,0,0,-1118.50048828125,-1118.50048828125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.4655652,148.62059020996094,2985,0,0,0,0,0,0,0,0,0,0,0,-1114.47021484375,-1114.47021484375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.5093522,148.66676330566406,2986,0,0,0,0,0,0,0,0,0,0,0,-1110.53125,-1110.53125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.5656905,148.72145080566406,2987,0,0,0,0,0,0,0,0,0,0,0,-1106.689453125,-1106.689453125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.612898,148.76751708984375,2988,0,0,0,0,0,0,0,0,0,0,0,-1102.94384765625,-1102.94384765625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.6576347,148.81370544433594,2989,0,0,0,0,0,0,0,0,0,0,0,-1099.28955078125,-1099.28955078125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.7137477,148.86978149414062,2990,0,0,0,0,0,0,0,0,0,0,0,-1095.7275390625,-1095.7275390625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.758739,148.9145965576172,2991,0,0,0,0,0,0,0,0,0,0,0,-1092.24951171875,-1092.24951171875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.810273,148.96893310546875,2992,0,0,0,0,0,0,0,0,0,0,0,-1088.8642578125,-1088.8642578125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.8624349,149.02145385742188,2993,0,0,0,0,0,0,0,0,0,0,0,-1085.57177734375,-1085.57177734375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.9166465,149.07469177246094,2994,0,0,0,0,0,0,0,0,0,0,0,-1081.3232421875,-1081.3232421875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.959788,149.1173553466797,2995,0,0,0,0,0,0,0,0,0,0,0,-1079.25732421875,-1079.25732421875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
